Experiment Number,compress,maxStreams,sourceDatabasetoTargetDatabase,tables,Experiment startTime,logTime,logType,logLocation,logDescription
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.679,TRACE,<1074:ThreadPoolExecutor-0_12> logger.py:81,db2look options: -d testdb -c -e -noview -t SYSCAT.TABLES -td @ -i db2inst1 -a -w <hidden>
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.680,DEBUG,<1074:ThreadPoolExecutor-0_11> prechecks.py:827,Precheck check source tenant took 0:00:00.006517
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.812,INFO,<1074:ThreadPoolExecutor-0_8> prechecks.py:742,Precheck 'check source DBMS version' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.813,DEBUG,<1074:ThreadPoolExecutor-0_8> prechecks.py:827,Precheck check source DBMS version took 0:00:00.145510
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.813,INFO,<1074:ThreadPoolExecutor-0_10> prechecks.py:742,Precheck 'check source driver version' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:31.814,DEBUG,<1074:ThreadPoolExecutor-0_10> prechecks.py:827,Precheck check source driver version took 0:00:00.141810
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:32.194,INFO,<1074:ThreadPoolExecutor-0_7> prechecks.py:742,Precheck 'check source tables' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:32.194,DEBUG,<1074:ThreadPoolExecutor-0_7> prechecks.py:827,Precheck check source tables took 0:00:00.527828
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:32.197,INFO,<1074:ThreadPoolExecutor-0_9> prechecks.py:742,Precheck 'check external tables on source' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:32.197,DEBUG,<1074:ThreadPoolExecutor-0_9> prechecks.py:827,Precheck check external tables on source took 0:00:00.527735
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:32.923,INFO,<1074:ThreadPoolExecutor-0_12> prechecks.py:742,Precheck 'check DDL extractor' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:32.924,DEBUG,<1074:ThreadPoolExecutor-0_12> prechecks.py:827,Precheck check DDL extractor took 0:00:01.245536
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.000,INFO,<1074:ThreadPoolExecutor-0_0> prechecks.py:742,Precheck 'check target database connection' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.001,DEBUG,<1074:ThreadPoolExecutor-0_0> prechecks.py:827,Precheck check target database connection took 0:00:05.809809
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.001,INFO,<1074:ThreadPoolExecutor-0_13> prechecks.py:787,Running precheck: PRE: check target DBMS version
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.002,INFO,<1074:ThreadPoolExecutor-0_14> prechecks.py:787,Running precheck: PRE: check external tables on target
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.005,INFO,<1074:ThreadPoolExecutor-0_15> prechecks.py:787,Running precheck: PRE: check target driver version
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.006,INFO,<1074:ThreadPoolExecutor-0_4> prechecks.py:787,Running precheck: PRE: check tablespace
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.006,INFO,<1074:ThreadPoolExecutor-0_6> prechecks.py:787,Running precheck: PRE: check target tenant
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.012,INFO,<1074:ThreadPoolExecutor-0_4> prechecks.py:742,Precheck 'check tablespace' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.013,INFO,<1074:ThreadPoolExecutor-0_6> prechecks.py:742,Precheck 'check target tenant' in stage PRE:  SKIPPED as N/A: No precheck needed for default target TENANT
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.013,DEBUG,<1074:ThreadPoolExecutor-0_4> prechecks.py:827,Precheck check tablespace took 0:00:00.007598
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:37.014,DEBUG,<1074:ThreadPoolExecutor-0_6> prechecks.py:827,Precheck check target tenant took 0:00:00.007739
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:48.117,INFO,<1074:ThreadPoolExecutor-0_15> prechecks.py:742,Precheck 'check target driver version' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:48.118,DEBUG,<1074:ThreadPoolExecutor-0_15> prechecks.py:827,Precheck check target driver version took 0:00:11.113370
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:50.191,INFO,<1074:ThreadPoolExecutor-0_13> prechecks.py:742,Precheck 'check target DBMS version' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:50.191,DEBUG,<1074:ThreadPoolExecutor-0_13> prechecks.py:827,Precheck check target DBMS version took 0:00:13.189882
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:57.431,INFO,<1074:ThreadPoolExecutor-0_14> prechecks.py:742,Precheck 'check external tables on target' in stage PRE:  PASSED
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:28:57.431,DEBUG,<1074:ThreadPoolExecutor-0_14> prechecks.py:827,Precheck check external tables on target took 0:00:20.429369
