Experiment Number,file,stream,compressionType,limit,totalTransferTime,TotalClearTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
average,DS_003.csv,2,lz4,104857600,118.73611330986023,0,0,0,0,0.22766594886779784,0.12425727844238282,0.11383297443389892,205.11412620544434,109.8509994983673,102.55706310272217,1.056270170211792,0.5325225353240967,0.528135085105896,4.302555322647095,2.8728442668914798,2.1512776613235474,488086980,272526329
1,DS_003.csv,3,None,104857600,209.7191722393036,0,0,0,0,0.39015913009643555,0.1465904712677002,0.13005304336547852,548.2254040241241,201.1960895061493,182.74180134137472,0,0,0.0,10.475129842758179,5.6492180824279785,3.4917099475860596,488086980,488086980
2,DS_003.csv,3,None,104857600,205.36916303634644,0,0,0,0,0.3549671173095703,0.12697124481201172,0.11832237243652344,542.2805449962616,196.89406967163086,180.76018166542053,0,0,0.0,10.962332010269165,6.048221588134766,3.6541106700897217,488086980,488086980
3,DS_003.csv,3,None,104857600,198.83909034729004,0,0,0,0,0.3658866882324219,0.1492936611175537,0.1219622294108073,495.915390253067,188.96365404129028,165.30513008435568,0,0,0.0,10.07662320137024,5.440145492553711,3.3588744004567466,488086980,488086980
4,DS_003.csv,3,None,104857600,198.60334753990173,0,0,0,0,0.32184767723083496,0.11964964866638184,0.10728255907694499,512.0091512203217,188.6852467060089,170.66971707344055,0,0,0.0,10.187176704406738,5.404285192489624,3.3957255681355796,488086980,488086980
5,DS_003.csv,3,None,104857600,201.07862281799316,0,0,0,0,0.32555270195007324,0.11272549629211426,0.10851756731669109,538.5420441627502,192.78423404693604,179.51401472091675,0,0,0.0,10.072718620300293,5.349574089050293,3.357572873433431,488086980,488086980
average,DS_003.csv,3,None,104857600,202.72187919616698,0,0,0,0,0.3516826629638672,0.13104610443115236,0.11722755432128906,527.3945069313049,193.7046587944031,175.79816897710165,0.0,0.0,0.0,10.354796075820921,5.578288888931274,3.4515986919403074,488086980,488086980
1,DS_003.csv,3,gzip,104857600,86.95713376998901,0,0,0,0,0.3082916736602783,0.13315272331237793,0.10276389122009277,177.87199711799622,71.03951144218445,59.29066570599874,18.022972345352173,6.030543088912964,6.007657448450725,9.757826566696167,5.1456358432769775,3.252608855565389,488086980,179511741
2,DS_003.csv,3,gzip,104857600,82.55281925201416,0,0,0,0,0.24972772598266602,0.087921142578125,0.08324257532755534,199.9051330089569,70.27570414543152,66.63504433631897,18.85707712173462,6.593394041061401,6.28569237391154,5.924685478210449,3.249584674835205,1.9748951594034831,488086980,179511741
3,DS_003.csv,3,gzip,104857600,85.33025360107422,0,0,0,0,0.30355405807495117,0.13379120826721191,0.10118468602498372,181.00768280029297,69.61091423034668,60.33589426676432,18.423068046569824,6.349621772766113,6.141022682189941,9.790956497192383,5.22972559928894,3.2636521657307944,488086980,179511741
