Experiment Number,file,limit,compressionType,stream,Experiment startTime,TotalBackupTime,TotaltransferTime,TotalMigrationTime,TotalValidationTime,TotalClearTime,sizeOnTargetMachine,sizeOnLocalMachine,compressionTime,dataTransferTime,readingFileTime,sumsizeOnTargetMachine,maxsizeOnTargetMachine,avgsizeOnTargetMachine,sumsizeOnLocalMachine,maxsizeOnLocalMachine,avgsizeOnLocalMachine,sumcompressionTime,maxcompressionTime,avgcompressionTime,sumdataTransferTime,maxdataTransferTime,avgdataTransferTime,sumreadingFileTime,maxreadingFileTime,avgreadingFileTime
11,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1249.8190715312958,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1940.7629833221436,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1218.9509556293488,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1244.4475824832916,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1353.6797850131989,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1399.6157722473145,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,958.3716859817505,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1262.5030918121338,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1562.1535453796387,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1181.7041006088257,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1418.6407589912415,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1381.533662557602,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1539.535656929016,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1649.7333261966705,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1266.5181698799133,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1444.7424478530884,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1346.2092280387878,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1041.0077502727509,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1203.575633764267,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,GZIP,3,testdb=>testdb,ORDERS1,1710885568.3606272,0,1512.008572101593,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,993.0667684078217,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1208.5000755786896,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1318.0549268722534,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,981.4482362270355,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,854.3478162288666,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,905.4562156200409,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,918.4948680400848,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1170.0525760650635,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,913.5212700366974,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1385.7431030273438,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1139.7594766616821,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,984.6047875881195,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1192.1739003658295,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1294.5696568489075,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,880.494265794754,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1024.0228443145752,0,0,3.24249267578125e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1273.4333009719849,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,852.6970682144165,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,990.1757879257202,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,931.6888358592987,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1067.1686398983002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1028.65376329422,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1298.4245734214783,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,986.9664974212646,0,0,4.76837158203125e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1025.4161949157715,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1087.5813119411469,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1164.6675338745117,0,0,4.76837158203125e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1078.6451716423035,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,1114.7377080917358,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,LZ4,3,testdb=>testdb,ORDERS1,1710925185.302707,0,959.8142614364624,0,0,2.384185791015625e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
